outer_test_index,alpha,inner_standardized_rmse,selected
51,8.0,0.7290495523510047,True
51,16.0,0.7293719567947674,False
51,32.0,0.7334611296281084,False
52,1.0,0.7475131804388023,False
52,2.0,0.7433852893301661,False
52,4.0,0.7400632696796784,False
52,8.0,0.7382826683872774,True
52,16.0,0.7390853606348012,False
52,32.0,0.7435790677818155,False
53,1.0,0.7387021220051391,False
53,2.0,0.7347372013326656,False
53,4.0,0.7316626127117012,False
53,8.0,0.7302536943800397,True
53,16.0,0.7315359723569752,False
53,32.0,0.736577586526617,False
54,1.0,0.752483095149088,False
54,2.0,0.7476003434521712,False
54,4.0,0.7436037607611196,False
54,8.0,0.7413145506911001,True
54,16.0,0.7418399123070193,False
54,32.0,0.7463058371467121,False
55,1.0,0.7479966775026349,False
55,2.0,0.7438577287189395,False
55,4.0,0.7405430014238197,False
55,8.0,0.73881685624859,True
55,16.0,0.7397547290957868,False
55,32.0,0.7444652622593311,False
56,1.0,0.7398008868066817,False
56,2.0,0.7362307284545291,False
56,4.0,0.7334706238126243,False
56,8.0,0.7322017141061644,True
56,16.0,0.7334849310418192,False
56,32.0,0.7384663757186393,False
57,1.0,0.737615799116867,False
57,2.0,0.7345488065409822,False
57,4.0,0.7321752245188249,False
57,8.0,0.7313158975325913,True
57,16.0,0.7330939072043903,False
57,32.0,0.7384882973939175,False
58,1.0,0.7419060885950807,False
58,2.0,0.7374840491925806,False
58,4.0,0.7339107166905672,False
58,8.0,0.7319782502442954,True
58,16.0,0.7327146072964353,False
58,32.0,0.7372028028288108,False
59,1.0,0.7531700737585777,False
59,2.0,0.7492254627245809,False
59,4.0,0.7460341884553796,False
59,8.0,0.7442977449521632,True
59,16.0,0.7450743900743699,False
59,32.0,0.749517768406941,False
60,1.0,0.7421106933565759,False
60,2.0,0.7381475804885995,False
60,4.0,0.7349516104963858,False
60,8.0,0.7331944784812274,True
60,16.0,0.7338482042389158,False
60,32.0,0.7380705832325272,False
61,1.0,0.7429474833120493,False
61,2.0,0.7386763575592518,False
61,4.0,0.7351583699752001,False
61,8.0,0.7331694617999422,True
61,16.0,0.7338399032975481,False
61,32.0,0.7384142091065286,False
62,1.0,0.7479823613216969,False
62,2.0,0.7436130958460545,False
62,4.0,0.7400168475322365,False
62,8.0,0.7380303345912596,True
62,16.0,0.738761929009322,False
62,32.0,0.7433023622632808,False
63,1.0,0.742938624584829,False
63,2.0,0.7380648625030541,False
63,4.0,0.7337834624891266,False
63,8.0,0.731097213757822,True
63,16.0,0.7314248784967323,False
63,32.0,0.7360412942495578,False
