file,column,dtype,description
data/aggregate/confirmatory__confirmatory_width_summary.csv,mean_excess_ce_H,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_width_summary.csv,mean_recovery_ratio,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_width_summary.csv,K,int64,Number of hidden states.
data/aggregate/confirmatory__crossK_confirmatory_details.csv,architecture,object,Learner architecture.
data/aggregate/confirmatory__crossK_confirmatory_details.csv,outcome,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_details.csv,K_a,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_details.csv,K_b,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_details.csv,hmm_a,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_details.csv,hmm_b,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_details.csv,profile_rms_distance,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_details.csv,outcome_absolute_difference,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_pairs.csv,K_a,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_pairs.csv,K_b,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_pairs.csv,pair_index,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_pairs.csv,hmm_a,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_pairs.csv,hmm_b,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_pairs.csv,profile_rms_distance,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_pairs.csv,matching_features,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_pairs.csv,caliper,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_pairs.csv,target_pairs,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,architecture,object,Learner architecture.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,outcome,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,K_a,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,K_b,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,n_pairs,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,matched_mean_difference,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,random_mean_difference,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,matched_to_random_ratio,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,random_ci_low,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,random_ci_high,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__crossK_confirmatory_summary.csv,permutation_p_lower_is_better,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__development_feature_outcome_table.csv,hmm_id,object,Stable HMM identifier.
data/aggregate/confirmatory__development_feature_outcome_table.csv,architecture,object,Learner architecture.
