contrast,source,n_train,method,alpha,beta,outcome,n_pairs,mean_effect_high_minus_low,median_effect_high_minus_low,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p_two_sided,fraction_positive
gain_contrast,count_predictor,512,interpolated_backoff,0.1,5.0,shape_rmse,12,-0.0001312011039365,-7.718688619905156e-05,-0.0025235338810826,0.002345472170844,0.9225077492250776,0.4166666666666667
gain_contrast,count_predictor,512,interpolated_backoff,0.1,20.0,excess_ce_H,12,-0.0003541253915275,0.000146127492251,-0.0043450955906423,0.0036148957415512,0.8754124587541245,0.5
gain_contrast,count_predictor,512,interpolated_backoff,0.1,20.0,shape_rmse,12,-0.0002130297603666,-0.0012611573031135,-0.0014098162869755,0.0011354763187081,0.7524247575242475,0.4166666666666667
gain_contrast,count_predictor,512,interpolated_backoff,0.5,1.0,excess_ce_H,12,-0.0003654994375052,0.0003613996669336,-0.0049804665391248,0.0042685562347866,0.8865113488651135,0.5
gain_contrast,count_predictor,512,interpolated_backoff,0.5,1.0,shape_rmse,12,-0.000211864204202,0.0001819124392911,-0.0021779120794414,0.0018765216313998,0.8464153584641536,0.5
gain_contrast,count_predictor,512,interpolated_backoff,0.5,5.0,excess_ce_H,12,-0.0005219168984441,-0.0002581908636554,-0.0047801732510542,0.0036669559813506,0.8196180381961804,0.5
gain_contrast,count_predictor,512,interpolated_backoff,0.5,5.0,shape_rmse,12,-0.0003476912202097,-0.0005276755046512,-0.0017195430924891,0.001172960948149,0.6671332866713329,0.3333333333333333
gain_contrast,count_predictor,512,interpolated_backoff,0.5,20.0,excess_ce_H,12,-0.0005204948155235,-0.0008661392629938,-0.0041841361891574,0.0032373274435851,0.7901209879012099,0.5
gain_contrast,count_predictor,512,interpolated_backoff,0.5,20.0,shape_rmse,12,-0.0003615071920931,-0.0008162578943379,-0.0012389945053581,0.0006392523949322,0.4760523947605239,0.25
gain_contrast,count_predictor,512,interpolated_backoff,1.0,1.0,excess_ce_H,12,-0.0003726906254075,1.0090327180150953e-05,-0.0043664275125803,0.0035471242960508,0.8644135586441356,0.5
gain_contrast,count_predictor,512,interpolated_backoff,1.0,1.0,shape_rmse,12,-0.0002174235113467,-0.0001829111283283,-0.0015193848517327,0.0011962482067083,0.7711228877112288,0.5
gain_contrast,count_predictor,512,interpolated_backoff,1.0,5.0,excess_ce_H,12,-0.0005437035603116,-0.0007846417826296,-0.0043304564459223,0.0031662165213169,0.7854214578542146,0.5
gain_contrast,count_predictor,512,interpolated_backoff,1.0,5.0,shape_rmse,12,-0.0003647961362515,-0.0006990382899443,-0.0013291475315459,0.0007073259644107,0.5138486151384861,0.25
gain_contrast,count_predictor,512,interpolated_backoff,1.0,20.0,excess_ce_H,12,-0.0005838902023009,-0.0014717816293599,-0.0040492582645879,0.0029901664965522,0.7612238776122388,0.4166666666666667
gain_contrast,count_predictor,512,interpolated_backoff,1.0,20.0,shape_rmse,12,-0.0004144507635517,-0.0009185203752628,-0.0011311706665442,0.0004299379045693,0.3336666333366663,0.25
gain_contrast,count_predictor,1024,additive,0.1,,excess_ce_H,12,0.0002335728162851,0.0008798828713866,-0.0051720220473585,0.0057636786523225,0.9367063293670632,0.5833333333333334
gain_contrast,count_predictor,1024,additive,0.1,,shape_rmse,12,0.0002326994398372,5.9926618601199855e-05,-0.0025640601454958,0.0032937525398363,0.8859114088591141,0.5
gain_contrast,count_predictor,1024,additive,0.5,,excess_ce_H,12,1.5000409708024708e-05,0.0016515871426809,-0.0043513630546582,0.0044126215071667,0.9963003699630038,0.5
gain_contrast,count_predictor,1024,additive,0.5,,shape_rmse,12,3.558908321734173e-05,-0.0004796799710044,-0.0015587422708051,0.0018393007753499,0.9767023297670232,0.5
gain_contrast,count_predictor,1024,additive,1.0,,excess_ce_H,12,-2.949074352075488e-06,0.0011704830134566,-0.0039270987024059,0.0039280189888617,0.999000099990001,0.5
gain_contrast,count_predictor,1024,additive,1.0,,shape_rmse,12,1.46562663438417e-05,-0.000311509638847,-0.0011995549021017,0.0013679952358071,0.9824017598240176,0.5
gain_contrast,count_predictor,1024,interpolated_backoff,0.1,1.0,excess_ce_H,12,0.0002161183646449,0.0009875554482646,-0.004909361076826,0.0054094497876745,0.9237076292370764,0.5833333333333334
gain_contrast,count_predictor,1024,interpolated_backoff,0.1,1.0,shape_rmse,12,0.0002025354470889,0.0004093912163447,-0.002202831071012,0.0027935466294288,0.8907109289071092,0.5
