hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,K
confirm_K4_i001008,GRU,0.0378058378918572,0.0334037849769909,8,0.0,,,0.0219959626020997,18.33175440103617,4
confirm_K4_i001008,Transformer,0.03454220886285,0.0326983206753351,128,0.0021622743987343,128.0,128.0,0.0383405910851567,1.2866259127563808,4
confirm_K4_i001076,GRU,0.0165108468156554,0.0119004077359415,32,0.0065402254955347,32.0,32.0,0.0121425579677046,269.8639751055923,4
confirm_K4_i001076,Transformer,0.0196871881093641,0.0137529739248977,8,0.0,,,0.0183820697853983,-543.6981556381567,4
confirm_K4_i001198,GRU,0.0319586567455355,0.0274805935590788,32,0.0127923375187948,32.0,32.0,0.0153127498278942,5.965664231556617,4
confirm_K4_i001198,Transformer,0.0346484128834542,0.0251241481359413,32,0.0023865076618248,32.0,32.0,0.0310555002937641,1.031545374246416,4
confirm_K5_i000202,GRU,0.0340765003933458,0.0244878538445907,8,0.0,,,0.0097163548674061,4.589930188816664,5
confirm_K5_i000202,Transformer,0.0286868020934458,0.0148959775356026,32,0.0203379213896157,32.0,32.0,0.0211106954123452,0.6467526221064039,5
confirm_K5_i000246,GRU,0.0497439732638511,0.0426669831084218,32,0.0013833518742585,32.0,32.0,0.0139386174644483,1.6871583755298447,5
confirm_K5_i000246,Transformer,0.0443364266157046,0.0350599723176557,128,0.0028749730229088,128.0,128.0,0.0343955834771646,-1.1343552044233016,5
confirm_K5_i000312,GRU,0.0456291387767429,0.0435921956391048,128,0.0001934997981967,128.0,128.0,0.0500207182173252,0.8472137036688516,5
confirm_K5_i000312,Transformer,0.056164426211536,0.0405054214872988,128,0.0140770278935382,128.0,128.0,0.0800838366304159,0.128960614236736,5
confirm_K5_i000511,GRU,0.0266159549591425,0.0210812161260007,32,0.0036991429939587,32.0,32.0,0.0223815848860827,0.9769032304632166,5
confirm_K5_i000511,Transformer,0.0358271401721575,0.0303524116389648,256,0.0094546678855637,256.0,256.0,0.0285807737890568,-1.3974751967074432,5
confirm_K5_i000543,GRU,0.0545781893479044,0.0431671236016962,32,0.0185521706314366,32.0,32.0,0.0632447208218864,0.8919825208924497,5
confirm_K5_i000543,Transformer,0.0503888236241697,0.0455187788980324,32,0.0013560171050682,32.0,32.0,0.0856713439278892,0.8630697761877224,5
confirm_K5_i000626,GRU,0.0223283199612375,0.0167272831107285,32,0.0105816135310942,32.0,32.0,0.0237848584757886,1.1688469634136511,5
confirm_K5_i000626,Transformer,0.0260154243976163,0.0214839770583674,128,0.0084300197855771,128.0,128.0,0.0378511985050282,-0.8250765432903835,5
confirm_K5_i000634,GRU,0.0268866537173832,0.0187846507237735,8,0.0,,,0.0206083573393429,0.1428882627819887,5
